temperature,model_id,question_id,n_sentences,live_mean,replay_mean,post_mean,replay_minus_live,post_minus_replay,post_minus_live,live_post_spearman
0.0,gemini-3.1-pro-preview,p006,6,15.0,11.666666666666666,33.333333333333336,-3.333333333333334,21.66666666666667,18.333333333333336,0.7205882352941176
0.0,gemini-3.1-pro-preview,p014,6,15.0,12.5,35.0,-2.5,22.5,20.0,-0.6667366910003157
0.0,gemini-3.1-pro-preview,p026,7,11.428571428571429,8.571428571428571,12.142857142857142,-2.8571428571428577,3.571428571428571,0.7142857142857135,0.7886073743156409
0.0,gemini-3.1-pro-preview,p031,6,8.333333333333334,11.666666666666666,19.166666666666668,3.333333333333332,7.500000000000002,10.833333333333334,0.8740073734751262
0.0,gemini-3.1-pro-preview,p043,6,12.5,10.0,35.833333333333336,-2.5,25.833333333333336,23.333333333333336,0.058848988633649964
0.0,gemini-3.1-pro-preview,p051,6,12.5,10.833333333333334,40.0,-1.666666666666666,29.166666666666664,27.5,0.08827348295047495
0.0,gemini-3.1-pro-preview,p069,7,17.857142857142858,33.57142857142857,65.71428571428571,15.714285714285712,32.14285714285714,47.85714285714285,-0.036037498507822355
0.0,gemini-3.1-pro-preview,p076,7,13.571428571428571,12.857142857142858,51.42857142857143,-0.7142857142857135,38.57142857142857,37.85714285714286,0.45462060465831744
0.0,gemini-3.1-pro-preview,p085,6,15.0,10.833333333333334,58.333333333333336,-4.166666666666666,47.5,43.333333333333336,0.028988551782622423
0.0,gemini-3.1-pro-preview,p093,7,12.857142857142858,11.428571428571429,35.714285714285715,-1.4285714285714288,24.285714285714285,22.857142857142858,-0.46780074285319984
0.0,gpt-5.5,p006,6,18.666666666666668,12.833333333333334,21.5,-5.833333333333334,8.666666666666666,2.833333333333332,1.0
0.0,gpt-5.5,p014,6,13.0,14.166666666666666,20.5,1.166666666666666,6.333333333333334,7.5,0.4857142857142857
0.0,gpt-5.5,p026,6,14.333333333333334,13.833333333333334,12.5,-0.5,-1.333333333333334,-1.833333333333334,0.9276336570439175
0.0,gpt-5.5,p031,6,17.333333333333332,9.166666666666666,16.166666666666668,-8.166666666666666,7.000000000000002,-1.1666666666666643,0.9428571428571428
0.0,gpt-5.5,p043,6,17.333333333333332,15.833333333333334,22.5,-1.4999999999999982,6.666666666666666,5.166666666666668,0.6
0.0,gpt-5.5,p051,6,13.5,16.666666666666668,15.833333333333334,3.166666666666668,-0.8333333333333339,2.333333333333334,0.08696565534786727
0.0,gpt-5.5,p069,6,16.666666666666668,15.5,40.0,-1.1666666666666679,24.5,23.333333333333332,0.8857142857142857
0.0,gpt-5.5,p076,6,17.5,14.666666666666666,27.0,-2.833333333333334,12.333333333333334,9.5,0.6
0.0,gpt-5.5,p085,6,15.333333333333334,10.5,17.666666666666668,-4.833333333333334,7.166666666666668,2.333333333333334,0.8857142857142857
0.0,gpt-5.5,p093,6,19.833333333333332,20.666666666666668,21.5,0.8333333333333357,0.8333333333333321,1.6666666666666679,0.8857142857142857
0.7,gemini-3.1-pro-preview,p006,5,9.0,17.0,26.0,8.0,9.0,17.0,0.7905694150420948
0.7,gemini-3.1-pro-preview,p014,6,15.0,9.5,23.333333333333332,-5.5,13.833333333333332,8.333333333333332,0.5882352941176471
