model_id,variant_id,question_id,live_status,post_status,live_error,post_error
gemini-3.1-pro-preview,minimal,x01_friend_cancel,complete,complete,,
gemini-3.1-pro-preview,minimal,x02_team_delay,complete,complete,,
gemini-3.1-pro-preview,minimal,x03_landlord_update,complete,complete,,
gemini-3.1-pro-preview,minimal,x04_old_photo,complete,complete,,
gemini-3.1-pro-preview,minimal,x05_headphones,complete,complete,,
gemini-3.1-pro-preview,minimal,x06_meal_delivery,complete,complete,,
gemini-3.1-pro-preview,minimal,x07_colleague_thanks,complete,complete,,
gemini-3.1-pro-preview,minimal,x08_weekend_change,complete,complete,,
gemini-3.1-pro-preview,minimal,x09_bookstore,complete,complete,,
gemini-3.1-pro-preview,minimal,x10_dentist_wait,complete,complete,,
gemini-3.1-pro-preview,minimal,x11_shared_office,complete,complete,,
gemini-3.1-pro-preview,minimal,x12_bus_detour,complete,complete,,
gemini-3.1-pro-preview,minimal,x13_small_restaurant,complete,complete,,
gemini-3.1-pro-preview,minimal,x14_language_class,complete,complete,,
gemini-3.1-pro-preview,minimal,x15_school_pickup,complete,complete,,
gemini-3.1-pro-preview,minimal,x16_museum,complete,complete,,
gemini-3.1-pro-preview,minimal,x17_neighbor_package,complete,complete,,
gemini-3.1-pro-preview,minimal,x18_failed_recipe,complete,complete,,
gemini-3.1-pro-preview,minimal,x19_phone_repair,complete,complete,,
gemini-3.1-pro-preview,minimal,x20_meeting_disagreement,complete,complete,,
gemini-3.1-pro-preview,minimal,x21_early_flight,complete,complete,,
gemini-3.1-pro-preview,minimal,x22_market_purchase,complete,complete,,
gemini-3.1-pro-preview,minimal,x23_child_birthday,complete,complete,,
gemini-3.1-pro-preview,minimal,x24_movie_recommendation,complete,complete,,
gemini-3.1-pro-preview,original,x01_friend_cancel,complete,complete,,
gemini-3.1-pro-preview,original,x02_team_delay,complete,complete,,
gemini-3.1-pro-preview,original,x03_landlord_update,complete,complete,,
gemini-3.1-pro-preview,original,x04_old_photo,complete,complete,,
gemini-3.1-pro-preview,original,x05_headphones,complete,complete,,
gemini-3.1-pro-preview,original,x06_meal_delivery,complete,complete,,
gemini-3.1-pro-preview,original,x07_colleague_thanks,complete,complete,,
gemini-3.1-pro-preview,original,x08_weekend_change,complete,complete,,
gemini-3.1-pro-preview,original,x09_bookstore,complete,complete,,
gemini-3.1-pro-preview,original,x10_dentist_wait,complete,complete,,
gemini-3.1-pro-preview,original,x11_shared_office,complete,complete,,
gemini-3.1-pro-preview,original,x12_bus_detour,complete,complete,,
gemini-3.1-pro-preview,original,x13_small_restaurant,complete,complete,,
gemini-3.1-pro-preview,original,x14_language_class,complete,complete,,
gemini-3.1-pro-preview,original,x15_school_pickup,complete,complete,,
gemini-3.1-pro-preview,original,x16_museum,complete,complete,,
gemini-3.1-pro-preview,original,x17_neighbor_package,complete,complete,,
gemini-3.1-pro-preview,original,x18_failed_recipe,complete,complete,,
gemini-3.1-pro-preview,original,x19_phone_repair,complete,complete,,
gemini-3.1-pro-preview,original,x20_meeting_disagreement,complete,complete,,
gemini-3.1-pro-preview,original,x21_early_flight,complete,complete,,
gemini-3.1-pro-preview,original,x22_market_purchase,complete,complete,,
gemini-3.1-pro-preview,original,x23_child_birthday,complete,complete,,
gemini-3.1-pro-preview,original,x24_movie_recommendation,complete,complete,,
gemini-3.1-pro-preview,paraphrase,x01_friend_cancel,complete,complete,,
gemini-3.1-pro-preview,paraphrase,x02_team_delay,complete,complete,,
gemini-3.1-pro-preview,paraphrase,x03_landlord_update,complete,complete,,
gemini-3.1-pro-preview,paraphrase,x04_old_photo,complete,complete,,
gemini-3.1-pro-preview,paraphrase,x05_headphones,complete,complete,,
gemini-3.1-pro-preview,paraphrase,x06_meal_delivery,complete,complete,,
gemini-3.1-pro-preview,paraphrase,x07_colleague_thanks,complete,complete,,
gemini-3.1-pro-preview,paraphrase,x08_weekend_change,complete,complete,,
gemini-3.1-pro-preview,paraphrase,x09_bookstore,complete,complete,,
gemini-3.1-pro-preview,paraphrase,x10_dentist_wait,complete,complete,,
gemini-3.1-pro-preview,paraphrase,x11_shared_office,complete,complete,,
gemini-3.1-pro-preview,paraphrase,x12_bus_detour,complete,complete,,
gemini-3.1-pro-preview,paraphrase,x13_small_restaurant,complete,complete,,
gemini-3.1-pro-preview,paraphrase,x14_language_class,complete,complete,,
gemini-3.1-pro-preview,paraphrase,x15_school_pickup,complete,complete,,
gemini-3.1-pro-preview,paraphrase,x16_museum,complete,complete,,
gemini-3.1-pro-preview,paraphrase,x17_neighbor_package,complete,complete,,
gemini-3.1-pro-preview,paraphrase,x18_failed_recipe,complete,complete,,
gemini-3.1-pro-preview,paraphrase,x19_phone_repair,complete,complete,,
gemini-3.1-pro-preview,paraphrase,x20_meeting_disagreement,complete,complete,,
gemini-3.1-pro-preview,paraphrase,x21_early_flight,complete,complete,,
gemini-3.1-pro-preview,paraphrase,x22_market_purchase,complete,complete,,
gemini-3.1-pro-preview,paraphrase,x23_child_birthday,complete,complete,,
gemini-3.1-pro-preview,paraphrase,x24_movie_recommendation,complete,complete,,
gemini-3.1-pro-preview,reverse,x01_friend_cancel,complete,complete,,
