model_id,variant_id,question_id,family,condition,sentence_index,raw_score,normalized_ai_risk
gemini-3.1-pro-preview,minimal,r01_personal_update,personal_social_post,live,0,12,12
gemini-3.1-pro-preview,minimal,r01_personal_update,personal_social_post,live,1,8,8
gemini-3.1-pro-preview,minimal,r01_personal_update,personal_social_post,live,2,15,15
gemini-3.1-pro-preview,minimal,r01_personal_update,personal_social_post,live,3,10,10
gemini-3.1-pro-preview,minimal,r01_personal_update,personal_social_post,live,4,14,14
gemini-3.1-pro-preview,minimal,r01_personal_update,personal_social_post,live,5,9,9
gemini-3.1-pro-preview,minimal,r01_personal_update,personal_social_post,live,6,18,18
gemini-3.1-pro-preview,minimal,r01_personal_update,personal_social_post,live,7,5,5
gemini-3.1-pro-preview,minimal,r01_personal_update,personal_social_post,post,0,12,12
gemini-3.1-pro-preview,minimal,r01_personal_update,personal_social_post,post,1,28,28
gemini-3.1-pro-preview,minimal,r01_personal_update,personal_social_post,post,2,15,15
gemini-3.1-pro-preview,minimal,r01_personal_update,personal_social_post,post,3,10,10
gemini-3.1-pro-preview,minimal,r01_personal_update,personal_social_post,post,4,22,22
gemini-3.1-pro-preview,minimal,r01_personal_update,personal_social_post,post,5,14,14
gemini-3.1-pro-preview,minimal,r01_personal_update,personal_social_post,post,6,35,35
gemini-3.1-pro-preview,minimal,r01_personal_update,personal_social_post,post,7,40,40
gemini-3.1-pro-preview,minimal,r01_personal_update,personal_social_post,replay,0,15,15
gemini-3.1-pro-preview,minimal,r01_personal_update,personal_social_post,replay,1,12,12
gemini-3.1-pro-preview,minimal,r01_personal_update,personal_social_post,replay,2,14,14
gemini-3.1-pro-preview,minimal,r01_personal_update,personal_social_post,replay,3,11,11
gemini-3.1-pro-preview,minimal,r01_personal_update,personal_social_post,replay,4,13,13
gemini-3.1-pro-preview,minimal,r01_personal_update,personal_social_post,replay,5,12,12
gemini-3.1-pro-preview,minimal,r01_personal_update,personal_social_post,replay,6,14,14
gemini-3.1-pro-preview,minimal,r01_personal_update,personal_social_post,replay,7,12,12
gemini-3.1-pro-preview,minimal,r02_parent_group,message_to_friends,live,0,12,12
gemini-3.1-pro-preview,minimal,r02_parent_group,message_to_friends,live,1,8,8
gemini-3.1-pro-preview,minimal,r02_parent_group,message_to_friends,live,2,5,5
gemini-3.1-pro-preview,minimal,r02_parent_group,message_to_friends,live,3,10,10
gemini-3.1-pro-preview,minimal,r02_parent_group,message_to_friends,live,4,15,15
gemini-3.1-pro-preview,minimal,r02_parent_group,message_to_friends,live,5,12,12
gemini-3.1-pro-preview,minimal,r02_parent_group,message_to_friends,live,6,5,5
gemini-3.1-pro-preview,minimal,r02_parent_group,message_to_friends,post,0,15,15
gemini-3.1-pro-preview,minimal,r02_parent_group,message_to_friends,post,1,10,10
gemini-3.1-pro-preview,minimal,r02_parent_group,message_to_friends,post,2,25,25
gemini-3.1-pro-preview,minimal,r02_parent_group,message_to_friends,post,3,20,20
gemini-3.1-pro-preview,minimal,r02_parent_group,message_to_friends,post,4,5,5
gemini-3.1-pro-preview,minimal,r02_parent_group,message_to_friends,post,5,15,15
gemini-3.1-pro-preview,minimal,r02_parent_group,message_to_friends,post,6,10,10
gemini-3.1-pro-preview,minimal,r03_workplace_story,workplace_anecdote,live,0,15,15
gemini-3.1-pro-preview,minimal,r03_workplace_story,workplace_anecdote,live,1,10,10
gemini-3.1-pro-preview,minimal,r03_workplace_story,workplace_anecdote,live,2,12,12
gemini-3.1-pro-preview,minimal,r03_workplace_story,workplace_anecdote,live,3,8,8
gemini-3.1-pro-preview,minimal,r03_workplace_story,workplace_anecdote,live,4,15,15
gemini-3.1-pro-preview,minimal,r03_workplace_story,workplace_anecdote,live,5,5,5
gemini-3.1-pro-preview,minimal,r03_workplace_story,workplace_anecdote,live,6,10,10
gemini-3.1-pro-preview,minimal,r03_workplace_story,workplace_anecdote,post,0,10,10
gemini-3.1-pro-preview,minimal,r03_workplace_story,workplace_anecdote,post,1,15,15
gemini-3.1-pro-preview,minimal,r03_workplace_story,workplace_anecdote,post,2,12,12
gemini-3.1-pro-preview,minimal,r03_workplace_story,workplace_anecdote,post,3,20,20
gemini-3.1-pro-preview,minimal,r03_workplace_story,workplace_anecdote,post,4,10,10
gemini-3.1-pro-preview,minimal,r03_workplace_story,workplace_anecdote,post,5,15,15
gemini-3.1-pro-preview,minimal,r03_workplace_story,workplace_anecdote,post,6,15,15
gemini-3.1-pro-preview,minimal,r03_workplace_story,workplace_anecdote,replay,0,15,15
gemini-3.1-pro-preview,minimal,r03_workplace_story,workplace_anecdote,replay,1,12,12
gemini-3.1-pro-preview,minimal,r03_workplace_story,workplace_anecdote,replay,2,14,14
gemini-3.1-pro-preview,minimal,r03_workplace_story,workplace_anecdote,replay,3,18,18
gemini-3.1-pro-preview,minimal,r03_workplace_story,workplace_anecdote,replay,4,11,11
gemini-3.1-pro-preview,minimal,r03_workplace_story,workplace_anecdote,replay,5,12,12
