model_id,variant_id,question_id,n_sentences,live_mean,post_mean,post_minus_live,live_post_spearman,live_post_pairwise_order,replay_mean,replay_minus_live,post_minus_replay
gemini-3.1-pro-preview,minimal,r01_personal_update,8,11.375,22.0,10.625,-0.11904761904761904,0.4642857142857143,12.875,1.5,9.125
gemini-3.1-pro-preview,minimal,r02_parent_group,7,9.571428571428571,14.285714285714286,4.714285714285715,-0.3611111111111111,0.3333333333333333,,,
gemini-3.1-pro-preview,minimal,r03_workplace_story,7,10.714285714285714,13.857142857142858,3.142857142857144,-0.8956037224108795,0.058823529411764705,13.714285714285714,3.0,0.14285714285714413
gemini-3.1-pro-preview,minimal,r04_neighborhood,7,11.142857142857142,17.714285714285715,6.571428571428573,0.21428571428571427,0.6190476190476191,,,
gemini-3.1-pro-preview,minimal,r05_product_experience,7,21.0,53.57142857142857,32.57142857142857,0.6428571428571429,0.7142857142857143,42.857142857142854,21.857142857142854,10.714285714285715
gemini-3.1-pro-preview,minimal,r06_complaint_story,7,11.714285714285714,70.0,58.285714285714285,0.3964124835860459,0.65,,,
gemini-3.1-pro-preview,minimal,r07_group_message,7,9.714285714285714,22.857142857142858,13.142857142857144,0.4351851851851852,0.7058823529411765,12.428571428571429,2.7142857142857153,10.428571428571429
gemini-3.1-pro-preview,minimal,r08_service_recommendation,7,17.142857142857142,23.571428571428573,6.428571428571431,0.42727272727272725,0.6842105263157895,,,
gemini-3.1-pro-preview,minimal,r09_family_trip,7,16.428571428571427,47.142857142857146,30.71428571428572,0.2522624895547565,0.55,,,
gemini-3.1-pro-preview,minimal,r10_travel_moment,7,12.571428571428571,61.42857142857143,48.85714285714286,0.6071428571428571,0.7619047619047619,35.0,22.42857142857143,26.42857142857143
gemini-3.1-pro-preview,minimal,r11_change_of_mind,8,10.625,20.25,9.625,0.2641561678489795,0.5909090909090909,,,
gemini-3.1-pro-preview,minimal,r12_recommendation,7,13.857142857142858,13.571428571428571,-0.2857142857142865,0.7156264473321343,0.8421052631578947,6.571428571428571,-7.2857142857142865,7.0
gemini-3.1-pro-preview,minimal,r13_return_visit,7,15.0,13.142857142857142,-1.8571428571428577,0.6071428571428571,0.7619047619047619,,,
gemini-3.1-pro-preview,minimal,r14_opinion_post,7,15.428571428571429,66.42857142857143,51.0,0.10714285714285714,0.5238095238095238,15.857142857142858,0.4285714285714288,50.57142857142857
gemini-3.1-pro-preview,minimal,r15_small_event,7,14.571428571428571,14.285714285714286,-0.2857142857142847,0.5357142857142857,0.7142857142857143,,,
