model_id,question_id,family,sentence_index,live_score,post_score,replay_score
gemini-3.1-pro-preview,p006,history,0,5,10,10
gemini-3.1-pro-preview,p006,history,1,10,25,15
gemini-3.1-pro-preview,p006,history,2,5,5,5
gemini-3.1-pro-preview,p006,history,3,15,40,35
gemini-3.1-pro-preview,p006,history,4,10,50,20
gemini-3.1-pro-preview,p014,science,0,5,10,5
gemini-3.1-pro-preview,p014,science,1,20,30,15
gemini-3.1-pro-preview,p014,science,2,15,20,10
gemini-3.1-pro-preview,p014,science,3,35,25,12
gemini-3.1-pro-preview,p014,science,4,10,45,10
gemini-3.1-pro-preview,p014,science,5,5,10,5
gemini-3.1-pro-preview,p026,biology_medicine,0,5,5,5
gemini-3.1-pro-preview,p026,biology_medicine,1,5,5,5
gemini-3.1-pro-preview,p026,biology_medicine,2,15,10,10
gemini-3.1-pro-preview,p026,biology_medicine,3,20,10,15
gemini-3.1-pro-preview,p026,biology_medicine,4,10,15,5
gemini-3.1-pro-preview,p026,biology_medicine,5,5,20,5
gemini-3.1-pro-preview,p031,technology,0,5,15,5
gemini-3.1-pro-preview,p031,technology,1,10,20,8
gemini-3.1-pro-preview,p031,technology,2,15,45,15
gemini-3.1-pro-preview,p031,technology,3,12,30,12
gemini-3.1-pro-preview,p031,technology,4,8,65,10
gemini-3.1-pro-preview,p031,technology,5,10,40,7
gemini-3.1-pro-preview,p043,economics,0,5,10,10
gemini-3.1-pro-preview,p043,economics,1,10,20,15
gemini-3.1-pro-preview,p043,economics,2,5,15,12
gemini-3.1-pro-preview,p043,economics,3,5,5,8
gemini-3.1-pro-preview,p043,economics,4,15,30,15
gemini-3.1-pro-preview,p043,economics,5,10,15,10
gemini-3.1-pro-preview,p051,geography,0,10,10,5
gemini-3.1-pro-preview,p051,geography,1,5,5,5
gemini-3.1-pro-preview,p051,geography,2,15,15,10
gemini-3.1-pro-preview,p051,geography,3,30,20,15
gemini-3.1-pro-preview,p051,geography,4,10,15,10
gemini-3.1-pro-preview,p051,geography,5,20,85,10
gemini-3.1-pro-preview,p069,food_culture,0,10,10,5
gemini-3.1-pro-preview,p069,food_culture,1,15,15,5
gemini-3.1-pro-preview,p069,food_culture,2,25,25,10
gemini-3.1-pro-preview,p069,food_culture,3,20,25,10
gemini-3.1-pro-preview,p069,food_culture,4,30,45,10
gemini-3.1-pro-preview,p069,food_culture,5,5,10,5
gemini-3.1-pro-preview,p069,food_culture,6,15,15,5
gemini-3.1-pro-preview,p076,language,0,5,15,5
gemini-3.1-pro-preview,p076,language,1,15,20,15
gemini-3.1-pro-preview,p076,language,2,10,25,10
gemini-3.1-pro-preview,p076,language,3,20,10,10
gemini-3.1-pro-preview,p076,language,4,15,75,10
gemini-3.1-pro-preview,p076,language,5,35,65,15
gemini-3.1-pro-preview,p076,language,6,10,85,10
gemini-3.1-pro-preview,p085,arts_culture,0,5,10,5
gemini-3.1-pro-preview,p085,arts_culture,1,10,25,10
gemini-3.1-pro-preview,p085,arts_culture,2,15,45,15
gemini-3.1-pro-preview,p085,arts_culture,3,25,60,25
gemini-3.1-pro-preview,p085,arts_culture,4,5,20,10
gemini-3.1-pro-preview,p085,arts_culture,5,10,75,15
gemini-3.1-pro-preview,p093,misconceptions,0,10,10,10
gemini-3.1-pro-preview,p093,misconceptions,1,5,15,12
gemini-3.1-pro-preview,p093,misconceptions,2,15,20,15
gemini-3.1-pro-preview,p093,misconceptions,3,20,35,14
gemini-3.1-pro-preview,p093,misconceptions,4,15,15,11
gemini-3.1-pro-preview,p093,misconceptions,5,5,45,8
gpt-5.5,p006,history,0,10,8,12
gpt-5.5,p006,history,1,17,12,18
gpt-5.5,p006,history,2,22,18,22
gpt-5.5,p006,history,3,20,22,20
gpt-5.5,p006,history,4,12,10,15
gpt-5.5,p006,history,5,8,7,12
gpt-5.5,p014,science,0,18,18,12
gpt-5.5,p014,science,1,12,22,15
gpt-5.5,p014,science,2,22,28,18
gpt-5.5,p014,science,3,28,24,20
gpt-5.5,p014,science,4,16,16,14
gpt-5.5,p014,science,5,10,12,9
gpt-5.5,p026,biology_medicine,0,12,12,5
gpt-5.5,p026,biology_medicine,1,18,24,10
gpt-5.5,p026,biology_medicine,2,16,17,8
gpt-5.5,p026,biology_medicine,3,10,10,6
gpt-5.5,p026,biology_medicine,4,14,16,7
gpt-5.5,p026,biology_medicine,5,8,8,4
gpt-5.5,p031,technology,0,18,18,12
gpt-5.5,p031,technology,1,24,24,15
gpt-5.5,p031,technology,2,15,16,10
gpt-5.5,p031,technology,3,20,22,10
gpt-5.5,p031,technology,4,14,17,9
gpt-5.5,p031,technology,5,22,21,11
