model_id,question_id,sentence_index,sentence,human_score
gpt-5.5,p006,0,"If you follow aviation history, December 17, 1903 is a pretty big day.",
gpt-5.5,p006,1,"That’s when Orville and Wilbur Wright made their first successful flights at Kitty Hawk, North Carolina, with the Wright Flyer.",
gpt-5.5,p006,2,"The first hop only lasted 12 seconds, but it proved something huge: a heavier-than-air machine could take off under its own power, stay controlled, and land safely.",
gpt-5.5,p006,3,"People had floated in balloons and experimented with gliders before, but this was different because the Wrights combined an engine, propellers, and real steering control.",
gpt-5.5,p006,4,"It wasn’t glamorous by today’s standards, but it was the moment powered flight truly got off the ground.",
gpt-5.5,p006,5,"So yes, an aviation-history page is absolutely going to celebrate December 17.",
gpt-5.5,p014,0,"I heard someone mention the “dark side of the Moon” today, and it’s one of those phrases that sounds cooler than it is accurate.",
gpt-5.5,p014,1,"The far side of the Moon isn’t always dark — it gets sunlight too, just like the side we see.",
gpt-5.5,p014,2,"What “dark” really meant originally was more like “unknown,” because we couldn’t see that side from Earth before spacecraft photographed it.",
gpt-5.5,p014,3,We keep seeing almost the same lunar face because the Moon is tidally locked with Earth.,
gpt-5.5,p014,4,"Basically, it spins once in about the same amount of time it takes to orbit us, so the same side keeps pointing our way.",
gpt-5.5,p014,5,"So the Moon does have a far side, but not a permanently dark one — except, I guess, in Pink Floyd terms.",
gpt-5.5,p026,0,Ever walk out into bright sun and suddenly sneeze like your nose just got jump-scared?,
gpt-5.5,p026,1,"It’s actually a real thing called the photic sneeze reflex, and it happens to a surprising number of people.",
gpt-5.5,p026,2,"Basically, the nerves that handle bright light and sneezing seem to get their signals crossed for a second.",
gpt-5.5,p026,3,"It’s not an allergy to sunlight, even though it can definitely feel weird.",
gpt-5.5,p026,4,"The funniest part is that it tends to run in families, so if you do it, there’s a decent chance someone else in your family does too.",
gpt-5.5,p026,5,"Just another strange little feature of the human body, I guess.",
gpt-5.5,p031,0,"I used to think deleting a file meant it was instantly wiped from the drive, but that’s not usually how it works.",
gpt-5.5,p031,1,"Most of the time, the computer just removes the “map” that points to the file and marks that space as available to use again.",
gpt-5.5,p031,2,The actual data can sit there for a while until something new gets saved over it.,
gpt-5.5,p031,3,"That’s why recovery tools can sometimes bring back deleted photos, documents, or videos if you act quickly enough.",
gpt-5.5,p031,4,"It’s also why, if you’re selling or giving away an old device, a simple delete might not be enough to protect your private stuff.",
gpt-5.5,p031,5,"For anything sensitive, it’s better to use a secure erase option or fully reset the drive the right way.",
